Load,Arr. Rate,T1 Queue,T100 Queue,Queue Total,T1 Service,T100 Service,T1 System,T100 System,Avg. System,T1 Waiting,T100 Waiting,WaitTime Total,T1 RespTime,T100 RespTime,RespTime Total,T1 Throughput,T100 Throughput,Utilization,Avg. Busy,Wasted-Tot,Wasted-HoL,Wasted-EmptyQ,Exe. Time
0.500000, 1.237624, 2.457248,  0.772724, 3.229972, 0.990099, 0.990099, 3.447347, 1.762823, 5.210170, 2.481820, 3.121806, 2.609817, 3.481820, 7.121806, 4.209817, 0.990099, 0.247525, 0.500000, 100.000000, 100.000000, 15.530765, 84.469235, 0.0466
0.510345, 1.263230, 2.721131,  0.847963, 3.569094, 1.010584, 1.010584, 3.731715, 1.858547, 5.590262, 2.692632, 3.356331, 2.825372, 3.692632, 7.356331, 4.425372, 1.010584, 0.252646, 0.510345, 102.068966, 97.931034, 16.433746, 81.497289, 0.0441
0.520690, 1.288836, 3.015069,  0.931044, 3.946113, 1.031069, 1.031069, 4.046137, 1.962113, 6.008250, 2.924217, 3.611959, 3.061766, 3.924217, 7.611959, 4.661766, 1.031069, 0.257767, 0.520690, 104.137931, 95.862069, 17.368140, 78.493929, 0.0435
0.531034, 1.314442, 3.343334,  1.023040, 4.366374, 1.051553, 1.051553, 4.394888, 2.074593, 6.469481, 3.179424, 3.891536, 3.321846, 4.179424, 7.891536, 4.921846, 1.051553, 0.262888, 0.531034, 106.206897, 93.793103, 18.334297, 75.458806, 0.0431
0.541379, 1.340048, 3.711015,  1.125225, 4.836239, 1.072038, 1.072038, 4.783053, 2.197263, 6.980316, 3.461644, 4.198451, 3.609005, 4.461644, 8.198451, 5.209005, 1.072038, 0.268010, 0.541379, 108.275862, 91.724138, 19.332560, 72.391577, 0.0419
0.551724, 1.365654, 4.124217,  1.239131, 5.363348, 1.092523, 1.092523, 5.216740, 2.331654, 7.548394, 3.774947, 4.536769, 3.927312, 4.774947, 8.536769, 5.527312, 1.092523, 0.273131, 0.551724, 110.344828, 89.655172, 20.363265, 69.291907, 0.0456
0.562069, 1.391260, 4.590336,  1.366611, 5.956947, 1.113008, 1.113008, 5.703344, 2.479619, 8.182963, 4.124262, 4.911416, 4.281693, 5.124262, 8.911416, 5.881693, 1.113008, 0.278252, 0.562069, 112.413793, 87.586207, 21.426741, 66.159466, 0.0458
0.572414, 1.416866, 5.118411,  1.509928, 6.628340, 1.133493, 1.133493, 6.251904, 2.643421, 8.895325, 4.515611, 5.328410, 4.678170, 5.515611, 9.328410, 6.278170, 1.133493, 0.283373, 0.572414, 114.482759, 85.517241, 22.523310, 62.993931, 0.0444
0.582759, 1.442472, 5.719611,  1.671879, 7.391490, 1.153977, 1.153977, 6.873588, 2.825856, 9.699445, 4.956432, 5.795188, 5.124183, 5.956432, 9.795188, 6.724183, 1.153977, 0.288494, 0.582759, 116.551724, 83.448276, 23.653291, 59.794985, 0.0489
0.593103, 1.468078, 6.407896,  1.855957, 8.263853, 1.174462, 1.174462, 7.582358, 3.030419, 10.612777, 5.456025, 6.321045, 5.629029, 6.456025, 10.321045, 7.229029, 1.174462, 0.293616, 0.593103, 118.620690, 81.379310, 24.816994, 56.562316, 0.0475
